movie,lead
Badlands,Martin Sheen
Cabaret,Liza Minnelli
Willy Wonka & the Chocolate Factory,Gene Wilder
Midnight Cowboy,Dustin Hoffman
Wait Until Dark,Audrey Hepburn
Guess Who's Coming to Dinner,Spencer Tracy
Bonnie and Clyde,Warren Beatty
My Fair Lady,Audrey Hepburn
Mary Poppins,Julie Andrews
The Longest Day,Andrew Marton
Jules et Jim,Jeanne Moreau
The Innocents,Deborah Kerr
À bout de souffle,Jean-Paul Belmondo
Red River,Arthur Rosson
Key Largo,Humphrey Bogart
To Have and Have Not,Humphrey Bogart
Shadow of a Doubt,Teresa Wright
Stagecoach,John Wayne
The Lady Vanishes,Margaret Lockwood
Bringing Up Baby,Katharine Hepburn
Bride of Frankenstein,Boris Karloff
Duck Soup,Groucho Marx
Scarface: The Shame of the Nation,Richard Rosson
Frankenstein,Colin Clive
Roma,Yalitza Aparicio
God's Own Country,Josh O'Connor
Deadpool 2,Ryan Reynolds
Wind River,Kelsey Asbille
Get Out,Daniel Kaluuya
Mission: Impossible - Fallout,Tom Cruise
En man som heter Ove,Rolf Lassgård
What We Do in the Shadows,Taika Waititi
Omoide no Mânî,Hiromasa Yonebayashi
The Theory of Everything,Eddie Redmayne
Kingsman: The Secret Service,Colin Firth
The Fault in Our Stars,Shailene Woodley
Me and Earl and the Dying Girl,Thomas Mann
Birdman or (The Unexpected Virtue of Ignorance),Michael Keaton
La vie d'Adèle,Léa Seydoux
Kai po che!,Amit Sadh
The Broken Circle Breakdown,Veerle Baetens
Captain America: The Winter Soldier,Joe Russo
Rockstar,Ranbir Kapoor
Nebraska,Bruce Dern
Wreck-It Ralph,John C. Reilly
Le Petit Prince,Jeff Bridges
Detachment,Adrien Brody
Midnight in Paris,Owen Wilson
The Lego Movie,Phil Lord
Gravity,Sandra Bullock
Star Trek Into Darkness,Chris Pine
Beasts of No Nation,Abraham Attah
The Social Network,Jesse Eisenberg
X: First Class,James McAvoy
The Hangover,Zach Galifianakis
Skyfall,Daniel Craig
Silver Linings Playbook,Bradley Cooper
Argo,Ben Affleck
(500) Days of Summer,Zooey Deschanel
Harry Potter and the Deathly Hallows: Part 1,Daniel Radcliffe
Gake no ue no Ponyo,Cate Blanchett
Frost/Nixon,Frank Langella
Papurika,Megumi Hayashibara
Changeling,Angelina Jolie
Flipped,Madeline Carroll
Toki o kakeru shôjo,Riisa Naka
Death Note: Desu nôto,Tatsuya Fujiwara
This Is England,Thomas Turgoose
Ex Machina,Alicia Vikander
Efter brylluppet,Mads Mikkelsen
The Last King of Scotland,James McAvoy
Zodiac,Jake Gyllenhaal
Lucky Number Slevin,Josh Hartnett
Joyeux Noël,Diane Kruger
Control,Sam Riley
Tangled,Byron Howard
Zwartboek,Carice van Houten
Brokeback Mountain,Jake Gyllenhaal
3:10 to Yuma,Russell Crowe
Crash,Don Cheadle
Kung fu,Stephen Chow
The Bourne Supremacy,Matt Damon
The Machinist,Christian Bale
Ray,Jamie Foxx
Lost in Translation,Bill Murray
Harry Potter and the Goblet of Fire,Daniel Radcliffe
Man on Fire,Denzel Washington
